age;temperature_minimum_average;pollen_Psylvestris;pollen_Puncinata;pollen_Bpendula;pollen_Cavellana;pollen_Qpetraea;real_charcoal;ignitions;charcoal_sum;charcoal_Psylvestris;charcoal_Puncinata;charcoal_Bpendula;charcoal_Cavellana;charcoal_Qpetraea 
-12923;-2.3409604549407996;497066;17602;11117;1053;0;0.04;0;0;0;0;0;0;0
-12922;-1.5409604549407998;509503;20965;13556;1160;0;0.04;0;0;0;0;0;0;0
-12921;-2.0409604549408;504131;18840;12040;1081;0;0.04;0;0;0;0;0;0;0
-12920;-0.9409604549407999;518716;23547;15634;1190;0;0.04;0;0;0;0;0;0;0
-12919;-1.5409604549407998;513620;21395;13783;1109;0;0.04;0;0;0;0;0;0;0
-12918;-1.5409604549407998;515372;21625;13969;1114;0;0.04;0;0;0;0;0;0;0
-12917;-0.9409604549407999;523618;24168;15988;1167;0;0.05;1;0;0;0;0;0;0
-12916;-0.34096045494079985;530987;26468;18138;1182;0;0.05;0;0;0;0;0;0;0
-12915;-1.0409604549407998;525751;24504;16013;1110;0;0.05;0;0;0;0;0;0;0
-12914;-0.5409604549407998;532606;26420;17850;1132;0;0.05;0;0;0;0;0;0;0
-12913;-1.8409604549407999;519668;21464;13649;1031;0;0.05;1;0;0;0;0;0;0
-12912;-1.6409604549408;524214;22245;14349;1061;0;0.05;0;0;0;0;0;0;0
-12911;-2.5409604549408;511858;17999;11591;943;0;0.05;1;0;0;0;0;0;0
-12910;-2.8409604549407996;508096;16124;10777;844;0;0.05;0;0;0;0;0;0;0
-12909;-2.4409604549408;516957;18187;11883;925;0;0.05;0;0;0;0;0;0;0
-12908;-0.6409604549407999;542129;26642;17796;1072;0;0.05;0;0;0;0;0;0;0
-12907;-2.1409604549408;524998;20411;12909;929;0;0.05;0;0;0;0;0;0;0
-12906;-1.7409604549408;532372;22430;14243;1000;0;0.06;0;0;0;0;0;0;0
-12905;-1.1409604549408;541513;25361;16239;1035;0;0.06;1;0;0;0;0;0;0
-12904;-0.5409604549407998;548753;28062;18365;1047;0;0.06;0;0;0;0;0;0;0
-12903;-2.1409604549408;530495;21434;13026;940;0;0.06;1;0;0;0;0;0;0
-12902;-0.8409604549407999;549675;27334;17152;1045;0;0.06;0;0;0;0;0;0;0
-12901;-1.4409604549408;543828;25040;15132;1002;0;0.06;0;0;0;0;0;0;0
-12900;-1.7409604549408;541799;23751;14176;991;0;0.06;0;0;0;0;0;0;0
-12899;-1.4409604549408;547004;25290;15121;1014;0;0.06;0;0;0;0;0;0;0
-12898;-1.3409604549407999;549703;25894;15483;1014;0;0.06;1;39519.34469371208;37926.39429150464;997.7746959814897;595.1757062259476;0;0
-12897;-0.5409604549407998;520573;28147;17886;1016;0;0.07;0;0;0;0;0;0;0
-12896;-1.2409604549408;514878;25964;15635;1008;0;0.07;1;0;0;0;0;0;0
-12895;-1.6409604549408;511464;24279;14474;1013;0;0.07;1;0;0;0;0;0;0
-12894;-0.5409604549407998;523853;28664;17992;1043;0;0.07;1;0;0;0;0;0;0
-12893;-0.7409604549407999;522777;28299;17417;1034;0;0.07;1;3143.0399312286986;1608.2706220848477;1490.28890825956;44.480400884290724;0;0
-12892;-1.1409604549408;518633;25566;16133;1022;0;0.07;0;0;0;0;0;0;0
-12891;-1.3409604549407999;517646;24871;15516;1009;0;0.07;1;1138.8003909044526;998.5254498481245;0;140.27494105632817;0;0
-12890;-2.1409604549408;507731;21283;12848;967;0;0.07;0;0;0;0;0;0;0
-12889;-2.2409604549408;507558;20801;12480;984;0;0.07;0;0;0;0;0;0;0
-12888;-1.7409604549408;514942;23118;13745;1039;0;0.07;1;0;0;0;0;0;0
-12887;-1.2409604549408;521501;25572;15165;1046;0;0.07;0;0;0;0;0;0;0
-12886;-1.5409604549407998;519165;24544;14173;1026;0;0.07;0;0;0;0;0;0;0
-12885;-1.7409604549408;517740;23762;13500;1027;0;0.08;1;2878.1088282158207;2754.824128106219;0;123.28470010960135;0;0
-12884;-0.5409604549407998;527952;28853;17521;1076;0;0.08;0;0;0;0;0;0;0
-12883;-0.8409604549407999;525877;28037;16621;1084;0;0.08;1;0;0;0;0;0;0
-12882;-0.9409604549407999;526046;27917;16439;1111;0;0.08;0;0;0;0;0;0;0
-12881;-0.9409604549407999;526958;28031;16498;1124;0;0.08;1;0;0;0;0;0;0
-12880;-1.2409604549408;525223;27022;15662;1137;0;0.08;1;0;0;0;0;0;0
-12879;-0.24096045494079998;534751;30861;19313;1190;0;0.08;0;0;0;0;0;0;0
-12878;-1.1409604549408;527541;27862;16326;1162;0;0.08;1;0;0;0;0;0;0
-12877;-1.2409604549408;527683;27439;16183;1188;0;0.08;1;0;0;0;0;0;0
-12876;-1.1409604549408;529167;27938;16583;1220;0;0.08;0;0;0;0;0;0;0
-12875;-1.3409604549407999;527879;27216;15887;1199;0;0.08;0;0;0;0;0;0;0
-12874;-0.6409604549407999;534761;30201;18358;1241;0;0.08;0;0;0;0;0;0;0
-12873;-0.5409604549407998;536288;30814;18846;1253;0;0.08;1;2316.3949412541715;2289.5816508235725;0;26.813290430598798;0;0
-12872;-0.9409604549407999;531771;29407;17387;1257;0;0.09;1;0;0;0;0;0;0
-12871;-0.8409604549407999;533221;29925;17806;1271;0;0.09;1;9676.343558328932;3797.534091232596;5146.291315684228;53.409298882178355;679.1088525299305;0
